epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.9369,0.82406,3.18282,1.06015,0.00427,1,0.50071,0.43104,0.53131,3.18061,0.81781,0.00018577,0.00018577,0.00018577
2,71.3363,0.81548,2.09248,1.03949,0.00429,1,0.61729,0.52682,0.51874,3.10116,0.80663,0.000366731,0.000366731,0.000366731
3,112.136,0.804,1.61746,0.99152,1,0.42363,0.95793,0.80854,0.60986,2.81001,0.84904,0.000527887,0.000527887,0.000527887
4,195.002,0.7964,1.38377,1.01241,0.95599,0.82439,0.9757,0.81042,0.67014,2.32949,0.90908,0.000669236,0.000669236,0.000669236
5,232.571,0.75546,1.309,0.98949,0.98908,0.77377,0.94875,0.78636,0.70414,2.27456,0.89468,0.00079078,0.00079078,0.00079078
6,267.871,0.71439,1.21202,0.97741,0.89899,0.7122,0.8504,0.70043,0.6729,2.56228,0.94405,0.000892518,0.000892518,0.000892518
7,302.052,0.75835,1.17284,0.9802,0.77283,0.64823,0.71061,0.57224,0.79241,2.17383,1.02624,0.000974449,0.000974449,0.000974449
8,364.89,0.79207,1.1688,1.01316,0.85022,0.91493,0.96588,0.78787,0.70641,1.57868,1.01737,0.000933851,0.000933851,0.000933851
9,434.626,0.64062,1.00062,0.94227,0.93438,0.77786,0.90918,0.76124,0.64928,1.54803,0.93382,0.000863116,0.000863116,0.000863116
10,478.649,0.69379,1.05787,0.95121,0.94901,0.90608,0.93921,0.78799,0.62181,1.16877,0.91357,0.00079238,0.00079238,0.00079238
11,513.454,0.61736,1.14562,0.91129,0.98433,0.99676,0.995,0.8736,0.6107,0.94911,0.90604,0.000721645,0.000721645,0.000721645
12,548.081,0.60745,1.0807,0.91825,0.9377,0.96296,0.99133,0.86376,0.61992,0.97808,0.92969,0.000650909,0.000650909,0.000650909
13,581.182,0.59269,1.03862,0.91961,0.96707,0.99479,0.995,0.86596,0.57184,0.84646,0.85635,0.000580174,0.000580174,0.000580174
14,615.08,0.56886,0.97887,0.90652,0.98187,0.89749,0.98833,0.87401,0.55957,0.83366,0.85437,0.000509438,0.000509438,0.000509438
15,650.572,0.55035,0.89748,0.8944,0.9827,0.96296,0.99133,0.88513,0.56399,0.7847,0.842,0.000438703,0.000438703,0.000438703
16,684.874,0.52673,0.8759,0.87704,0.9797,1,0.995,0.87347,0.58351,0.70246,0.83515,0.000367967,0.000367967,0.000367967
17,718.495,0.52953,0.84848,0.8751,0.9777,0.99901,0.995,0.88265,0.53997,0.70076,0.8328,0.000297232,0.000297232,0.000297232
18,751.989,0.48404,0.79442,0.87324,0.98669,0.9681,0.995,0.88108,0.52807,0.71886,0.83693,0.000226497,0.000226497,0.000226497
19,785.9,0.48225,0.77403,0.87193,0.98775,0.96591,0.995,0.86953,0.52637,0.69587,0.82591,0.000155761,0.000155761,0.000155761
20,819.287,0.45671,0.72895,0.85099,0.98833,0.9639,0.995,0.88771,0.51731,0.67676,0.82078,8.50255e-05,8.50255e-05,8.50255e-05
