epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.1248,0.78331,3.44755,1.05865,0.00409,1,0.38387,0.31558,0.4134,3.46145,0.80942,7.145e-05,7.145e-05,7.145e-05
2,24.9847,0.73337,2.8906,1.00828,0.00413,1,0.51097,0.42314,0.43158,3.3004,0.79777,0.000149409,0.000149409,0.000149409
3,38.4204,0.83719,2.3982,1.08793,0.00422,1,0.42755,0.3519,0.46959,3.14406,0.79961,0.00021888,0.00021888,0.00021888
4,51.7811,0.72945,2.12434,0.9796,0.00417,1,0.45867,0.40855,0.47402,3.07707,0.81068,0.000279863,0.000279863,0.000279863
5,65.6938,0.71824,2.04841,0.94839,0.00415,1,0.50315,0.45329,0.49126,3.02805,0.83335,0.000332357,0.000332357,0.000332357
6,79.5736,0.73897,1.85871,0.95851,0.21101,1,0.73319,0.66483,0.49177,2.8878,0.83855,0.000376363,0.000376363,0.000376363
7,93.4545,0.70665,1.82562,0.96543,1,0.24214,0.86117,0.73669,0.52816,2.82651,0.87382,0.000411881,0.000411881,0.000411881
8,106.873,0.78132,1.63802,0.97704,0.93778,0.34008,0.91189,0.75815,0.58182,2.829,0.85734,0.00043891,0.00043891,0.00043891
9,120.556,0.80886,1.51653,1.00558,0.84197,0.48625,0.92346,0.79398,0.56422,2.61087,0.85955,0.000457451,0.000457451,0.000457451
10,134.207,0.70931,1.43317,0.97421,0.92501,0.41963,0.92796,0.82319,0.55505,2.75508,0.88909,0.000467504,0.000467504,0.000467504
11,147.657,0.68949,1.70108,0.89544,0.90537,0.46828,0.93167,0.76601,0.63444,2.79087,0.9727,0.000469069,0.000469069,0.000469069
12,160.985,0.63014,1.49542,0.90069,0.7982,0.74881,0.88213,0.73287,0.68805,2.49388,1.03644,0.000462146,0.000462146,0.000462146
13,174.56,0.66719,1.44538,0.89561,0.85786,0.84107,0.948,0.81932,0.6355,2.28172,1.01196,0.000446734,0.000446734,0.000446734
14,187.655,0.69539,1.40969,0.91076,0.90207,0.83664,0.93219,0.80412,0.61958,2.14145,0.94154,0.000422834,0.000422834,0.000422834
15,200.977,0.60146,1.39672,0.92002,0.87495,0.84589,0.93315,0.78683,0.60136,1.90263,0.9068,0.000390446,0.000390446,0.000390446
16,214.159,0.57639,1.38223,0.92566,0.89897,0.93583,0.92407,0.79627,0.60019,1.77363,0.91721,0.000349569,0.000349569,0.000349569
17,227.586,0.59987,1.31872,0.90027,0.904,0.95073,0.9249,0.7914,0.56754,1.65969,0.88827,0.000297232,0.000297232,0.000297232
18,243.106,0.56349,1.29719,0.87776,0.90208,0.90462,0.92667,0.79963,0.55873,1.65096,0.86311,0.000226497,0.000226497,0.000226497
19,256.779,0.5362,1.24454,0.85992,0.89897,0.93846,0.92589,0.83658,0.54524,1.55695,0.85861,0.000155761,0.000155761,0.000155761
20,270.201,0.69053,1.31627,0.94371,0.88924,0.93992,0.92521,0.83323,0.53739,1.48473,0.85533,8.50255e-05,8.50255e-05,8.50255e-05
