epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.5965,0.84966,3.35976,1.05961,0.00418,1,0.52644,0.41608,0.52747,3.306,0.8266,0.0001429,0.0001429,0.0001429
2,76.6461,0.83356,2.20716,1.03535,0.00445,1,0.52118,0.45495,0.52059,3.0751,0.8107,0.000288206,0.000288206,0.000288206
3,113.927,0.73603,1.63938,0.99089,1,0.13523,0.72482,0.59298,0.62874,3.02287,0.87967,0.000421063,0.000421063,0.000421063
4,150.077,0.72797,1.45019,0.99552,1,0.51892,0.92469,0.75114,0.71905,2.68339,0.9641,0.000541471,0.000541471,0.000541471
5,183.391,0.71421,1.34093,0.99472,0.95872,0.77383,0.96567,0.81454,0.625,2.25731,0.90519,0.000649429,0.000649429,0.000649429
6,220.018,0.69954,1.23628,0.98659,0.96125,0.89128,0.94912,0.78858,0.71635,2.33139,0.92204,0.000744938,0.000744938,0.000744938
7,256.008,0.71418,1.15716,0.97002,0.92517,0.91762,0.98167,0.83523,0.62911,1.98962,0.88294,0.000827997,0.000827997,0.000827997
8,318.573,0.75817,1.13647,0.99995,0.86675,0.95628,0.93441,0.7733,0.66616,1.91314,0.87239,0.000898607,0.000898607,0.000898607
9,373.091,0.67428,1.02837,0.9628,0.8789,0.81356,0.92465,0.80434,0.64035,1.71067,0.92062,0.000956767,0.000956767,0.000956767
10,404.62,0.70475,1.04163,0.97152,0.87415,0.99339,0.93238,0.79637,0.63429,1.22389,0.91219,0.000919704,0.000919704,0.000919704
11,437.547,0.68667,1.02028,0.99119,0.93436,0.9275,0.95732,0.81852,0.59819,1.31683,0.9052,0.000863116,0.000863116,0.000863116
12,470.902,0.67747,0.99258,0.97368,0.96847,0.9664,0.995,0.84651,0.5679,1.02468,0.85602,0.000806528,0.000806528,0.000806528
13,528.685,0.64798,0.89668,0.96128,0.90439,0.96296,0.97657,0.85486,0.56763,0.97068,0.86788,0.000749939,0.000749939,0.000749939
14,582.661,0.6237,0.87409,0.95496,0.97981,1,0.995,0.8703,0.54066,0.87291,0.86771,0.000693351,0.000693351,0.000693351
15,621.524,0.60085,0.83366,0.93939,0.98107,0.97283,0.995,0.8767,0.56403,0.82529,0.86538,0.000636762,0.000636762,0.000636762
16,691.048,0.52879,0.91791,0.88784,0.97446,0.96296,0.99133,0.85988,0.56605,0.94938,0.86909,0.000580174,0.000580174,0.000580174
17,740.179,0.52734,0.87567,0.87601,0.96188,0.96122,0.99133,0.84512,0.57606,0.7956,0.85573,0.000523586,0.000523586,0.000523586
18,772.197,0.51503,0.82967,0.86226,0.91511,0.96296,0.98372,0.85488,0.55345,0.81853,0.85982,0.000466997,0.000466997,0.000466997
19,803.841,0.5055,0.80283,0.88361,0.94872,0.95419,0.98833,0.85902,0.51663,0.74963,0.83299,0.000410409,0.000410409,0.000410409
20,835.553,0.50416,0.78762,0.8733,0.98505,0.97659,0.995,0.8797,0.53691,0.67739,0.83047,0.00035382,0.00035382,0.00035382
21,878.3,0.49007,0.75433,0.86691,0.98805,0.97735,0.995,0.87877,0.52419,0.66304,0.82478,0.000297232,0.000297232,0.000297232
22,908.964,0.46682,0.72252,0.87417,0.97634,0.98048,0.995,0.8806,0.53824,0.63849,0.84053,0.000240644,0.000240644,0.000240644
23,940.509,0.44725,0.69777,0.8479,0.98921,0.97797,0.995,0.89029,0.52289,0.64368,0.83298,0.000184055,0.000184055,0.000184055
24,971.901,0.45026,0.72332,0.84709,0.98846,0.97856,0.995,0.87187,0.54448,0.6458,0.83742,0.000127467,0.000127467,0.000127467
25,1003.24,0.41689,0.67618,0.84423,0.98712,0.9747,0.995,0.88463,0.51577,0.61945,0.82932,7.08784e-05,7.08784e-05,7.08784e-05
