epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.2429,0.78758,3.46925,1.06095,0.00411,1,0.34992,0.28804,0.41965,3.4698,0.81239,5.716e-05,5.716e-05,5.716e-05
2,23.4224,0.72742,3.07887,1.00107,0.00408,1,0.48685,0.41567,0.4477,3.33355,0.81079,0.000123517,0.000123517,0.000123517
3,35.1869,0.86043,2.55335,1.11118,0.00416,1,0.50006,0.4452,0.43121,3.11798,0.771,0.000184215,0.000184215,0.000184215
4,46.9523,0.70433,2.14945,0.9553,0.00415,1,0.4908,0.42654,0.44889,3.09821,0.80143,0.000239255,0.000239255,0.000239255
5,58.3388,0.76,2.0752,0.94504,0.00421,1,0.51735,0.46017,0.5201,3.12171,0.83342,0.000288635,0.000288635,0.000288635
6,69.9081,0.80221,1.8622,0.99661,0.00414,1,0.8143,0.70732,0.48899,3.02481,0.82665,0.000332357,0.000332357,0.000332357
7,81.6104,0.7393,1.60253,0.95542,0.00416,1,0.81976,0.6927,0.58334,3.01335,0.86185,0.00037042,0.00037042,0.00037042
8,93.2266,0.78522,1.51412,0.97598,0.83643,0.75654,0.8309,0.70803,0.61724,2.96939,0.86939,0.000402824,0.000402824,0.000402824
9,104.741,0.76376,1.44727,0.99462,0.97341,0.68101,0.92386,0.80725,0.59853,2.61771,0.912,0.000429569,0.000429569,0.000429569
10,116.542,0.70408,1.46595,0.95836,0.97476,0.66744,0.92253,0.8226,0.62646,2.63315,0.97968,0.000450655,0.000450655,0.000450655
11,128.197,0.72408,1.4703,0.96847,0.83465,0.54714,0.91417,0.78006,0.60605,2.72102,0.89256,0.000466083,0.000466083,0.000466083
12,139.729,0.74685,1.24425,0.98911,0.85668,0.76833,0.90914,0.76082,0.60967,2.45829,0.88771,0.000475851,0.000475851,0.000475851
13,151.577,0.73182,1.3685,0.9726,0.93904,0.47368,0.90501,0.77236,0.61594,2.59265,0.84384,0.000479961,0.000479961,0.000479961
14,163.436,0.69151,1.26013,0.99025,1,0.63736,0.9487,0.82699,0.54118,2.51782,0.83973,0.000478412,0.000478412,0.000478412
15,175.469,0.69553,1.19016,1.00178,0.96987,0.85987,0.98917,0.85346,0.5266,2.24623,0.81882,0.000471204,0.000471204,0.000471204
16,187.265,0.59098,1.44207,0.87808,0.9475,0.68302,0.95583,0.81958,0.54982,2.41359,0.83031,0.000458337,0.000458337,0.000458337
17,199.208,0.65717,1.54469,0.924,0.91352,0.93191,0.98333,0.84094,0.51848,1.90938,0.81827,0.000439812,0.000439812,0.000439812
18,211.13,0.56836,1.28666,0.89611,0.94978,0.96835,0.995,0.85206,0.53497,1.72429,0.81273,0.000415628,0.000415628,0.000415628
19,223.425,0.60298,1.33312,0.87594,0.89242,0.94787,0.995,0.88112,0.51441,1.65895,0.81453,0.000385784,0.000385784,0.000385784
20,235.732,0.64639,1.36988,0.90237,0.90646,0.91756,0.995,0.90179,0.49376,1.54749,0.82066,0.000350282,0.000350282,0.000350282
21,247.686,0.59467,1.24181,0.89414,0.89705,0.97246,0.995,0.89146,0.48879,1.46131,0.81664,0.000297232,0.000297232,0.000297232
22,259.709,0.51324,1.18564,0.84388,0.89748,0.96974,0.995,0.88093,0.51254,1.39994,0.80519,0.000240644,0.000240644,0.000240644
23,271.823,0.54175,1.19943,0.89431,0.91352,0.98629,0.995,0.87891,0.53221,1.3224,0.79736,0.000184055,0.000184055,0.000184055
24,284.083,0.57806,1.14702,0.87651,0.90821,0.99038,0.995,0.88495,0.52695,1.3078,0.79466,0.000127467,0.000127467,0.000127467
25,296.44,0.56803,1.19617,0.8664,0.90351,1,0.995,0.88203,0.5094,1.24326,0.7941,7.08784e-05,7.08784e-05,7.08784e-05
