epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.4255,0.82421,3.53557,1.0859,0.00411,1,0.1815,0.1621,0.46405,3.49594,0.83741,2.858e-05,2.858e-05,2.858e-05
2,24.2743,0.74902,3.38387,1.02496,0.00411,1,0.42323,0.35586,0.41398,3.43663,0.82743,6.90921e-05,6.90921e-05,6.90921e-05
3,35.1989,0.81822,3.11725,1.07984,0.00414,1,0.49774,0.41976,0.39407,3.37343,0.812,0.000106775,0.000106775,0.000106775
4,45.9522,0.7764,2.64978,1.03461,0.0041,1,0.497,0.4264,0.41954,3.25057,0.78711,0.000141628,0.000141628,0.000141628
5,56.7679,0.71619,2.36643,0.98098,0.00418,1,0.51005,0.47542,0.37967,3.10403,0.77173,0.000173652,0.000173652,0.000173652
6,67.6046,0.71432,2.15823,0.98027,0.00421,1,0.56657,0.52049,0.39062,3.05362,0.77566,0.000202847,0.000202847,0.000202847
7,78.5082,0.67353,1.93694,0.93764,0.0042,1,0.54587,0.48794,0.38879,3.03441,0.77851,0.000229212,0.000229212,0.000229212
8,89.2843,0.68117,1.8703,0.94373,0.00417,1,0.75784,0.68125,0.46521,2.96501,0.78075,0.000252747,0.000252747,0.000252747
9,102.035,0.71791,1.58479,0.96372,0.00423,1,0.95568,0.84057,0.47037,2.89587,0.79585,0.000273453,0.000273453,0.000273453
10,124.925,0.72573,1.61337,0.99377,0.00425,1,0.97556,0.89827,0.51684,2.94588,0.87038,0.00029133,0.00029133,0.00029133
11,135.391,0.70203,1.44464,0.94941,0.00429,1,0.94722,0.83658,0.53578,3.07121,0.91102,0.000306378,0.000306378,0.000306378
12,146.051,0.7443,1.37499,0.96147,0.96095,0.78236,0.97803,0.81152,0.61454,2.95709,0.89854,0.000318596,0.000318596,0.000318596
13,157.06,0.70867,1.36277,0.96785,0.93465,0.33667,0.94097,0.80328,0.50337,2.83106,0.84569,0.000327984,0.000327984,0.000327984
14,180.707,0.72414,1.27387,0.99476,1,0.57905,0.96208,0.86385,0.46512,2.77535,0.85548,0.000334543,0.000334543,0.000334543
15,207.655,0.68639,1.19832,0.96231,1,0.66477,0.98463,0.84737,0.53351,2.70775,0.8738,0.000338273,0.000338273,0.000338273
16,233.39,0.67313,1.20052,0.96829,1,0.64227,0.98333,0.82279,0.62237,2.55422,0.89177,0.000339173,0.000339173,0.000339173
17,257.444,0.67065,1.16428,0.95252,0.99185,0.93559,0.995,0.85071,0.54625,2.48924,0.87381,0.000337244,0.000337244,0.000337244
18,285.079,0.6875,1.17681,0.97551,0.95257,0.88509,0.96344,0.84336,0.55776,2.42844,0.87467,0.000332485,0.000332485,0.000332485
19,297.875,0.67899,1.15242,0.94427,0.97482,0.9098,0.981,0.82742,0.58256,2.26006,0.88794,0.000324897,0.000324897,0.000324897
20,311.123,0.66859,1.0825,0.92224,0.95427,0.8361,0.98917,0.83035,0.62921,2.26612,0.92828,0.00031448,0.00031448,0.00031448
21,324.453,0.57701,1.31191,0.87112,0.85917,0.7381,0.95,0.81756,0.57688,2.53371,0.86336,0.000301233,0.000301233,0.000301233
22,346.435,0.60006,1.34989,0.89211,0.90654,0.70894,0.93361,0.80553,0.54624,2.6163,0.8367,0.000285157,0.000285157,0.000285157
23,367.191,0.58923,1.38645,0.91099,1,0.82405,0.995,0.88673,0.51217,2.50447,0.83911,0.000266251,0.000266251,0.000266251
24,383.907,0.55092,1.27578,0.89387,0.96966,0.90626,0.995,0.91773,0.49023,2.34845,0.81072,0.000244516,0.000244516,0.000244516
25,409.788,0.56943,1.18178,0.85932,0.95744,0.94777,0.995,0.88999,0.48706,2.06755,0.78536,0.000219952,0.000219952,0.000219952
26,423.2,0.54913,1.15209,0.89535,0.95154,1,0.995,0.88465,0.49376,1.97705,0.78866,0.000192558,0.000192558,0.000192558
27,436.496,0.51917,1.12889,0.85635,0.93225,1,0.995,0.8671,0.52499,1.88884,0.8041,0.000162334,0.000162334,0.000162334
28,448.947,0.51742,1.16304,0.85377,0.93031,1,0.995,0.86819,0.53703,1.89497,0.80893,0.000129282,0.000129282,0.000129282
29,461.193,0.51355,1.13782,0.87372,0.94396,1,0.995,0.89698,0.52928,1.83281,0.81904,9.33994e-05,9.33994e-05,9.33994e-05
30,473.595,0.5169,1.1371,0.86119,0.9521,0.9922,0.995,0.9023,0.52029,1.78713,0.82367,5.46878e-05,5.46878e-05,5.46878e-05
