epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,39.253,0.81247,3.36968,1.04015,0.00443,1,0.45882,0.38205,0.55863,3.42877,0.83777,0.0001429,0.0001429,0.0001429
2,77.2913,0.82501,2.37754,1.07179,0.00421,1,0.65039,0.54194,0.59259,3.44749,0.91998,0.000288206,0.000288206,0.000288206
3,114.338,0.8548,1.74055,1.09775,0.00433,1,0.70645,0.46798,0.94426,3.5279,1.34852,0.000421063,0.000421063,0.000421063
4,151.093,0.83004,1.54588,1.08393,0.00424,1,0.81152,0.67403,0.65192,3.18291,0.88862,0.000541471,0.000541471,0.000541471
5,188.314,0.80331,1.37001,1.02759,0.9479,0.20133,0.85017,0.69512,0.72628,3.05443,1.02236,0.000649429,0.000649429,0.000649429
6,226.247,0.77686,1.35358,1.00895,0.79577,0.49652,0.73205,0.55055,0.8141,2.95031,1.17548,0.000744938,0.000744938,0.000744938
7,269.92,0.79498,1.32455,1.05295,0.72495,0.58981,0.74117,0.56428,0.85671,2.67868,1.19565,0.000827997,0.000827997,0.000827997
8,398.914,0.78038,1.22739,1.06614,0.69126,0.69721,0.75147,0.58788,0.8522,2.30427,1.21118,0.000898607,0.000898607,0.000898607
9,436.501,0.7768,1.17862,1.08515,0.76537,0.50825,0.758,0.62064,0.76453,2.26174,1.07033,0.000956767,0.000956767,0.000956767
10,474.136,0.74477,1.13318,1.05819,0.59048,0.77606,0.65963,0.52853,0.78229,2.46027,1.13569,0.000919704,0.000919704,0.000919704
11,512.461,0.66906,1.02381,0.99531,0.91334,0.96308,0.99133,0.83631,0.61372,1.52942,0.96442,0.000863116,0.000863116,0.000863116
12,563.764,0.73339,1.0469,1.04849,0.90633,0.89437,0.97889,0.84776,0.57318,1.578,0.92159,0.000806528,0.000806528,0.000806528
13,603.175,0.70404,0.99833,1.01974,0.96561,0.86172,0.9491,0.81042,0.63716,1.26691,0.95367,0.000749939,0.000749939,0.000749939
14,643.984,0.6671,0.95999,0.99648,0.94936,1,0.995,0.84678,0.62907,1.17304,0.92602,0.000693351,0.000693351,0.000693351
15,686.04,0.65305,0.94641,0.99152,0.95417,1,0.995,0.83684,0.63112,1.05241,0.94325,0.000636762,0.000636762,0.000636762
16,727.788,0.60629,1.06811,0.94215,0.98539,0.99727,0.995,0.81855,0.6761,1.06145,0.93858,0.000580174,0.000580174,0.000580174
17,991.716,0.57905,0.99109,0.92464,0.9461,0.98081,0.98767,0.85101,0.5912,0.9956,0.91484,0.000523586,0.000523586,0.000523586
18,1028.62,0.55138,0.97194,0.92312,0.91117,0.96296,0.97981,0.8548,0.53564,0.98506,0.89496,0.000466997,0.000466997,0.000466997
19,1065.57,0.54439,0.90966,0.91077,0.92864,0.96296,0.9537,0.82075,0.55179,0.97559,0.89348,0.000410409,0.000410409,0.000410409
20,1103.35,0.52227,0.87118,0.89834,0.94261,0.96296,0.96981,0.84627,0.58149,0.88025,0.93083,0.00035382,0.00035382,0.00035382
21,1141.72,0.54321,0.87787,0.91183,0.94441,0.96296,0.97763,0.86047,0.5572,0.85751,0.90152,0.000297232,0.000297232,0.000297232
22,1306.57,0.48685,0.83625,0.89742,0.94241,0.96476,0.9813,0.86373,0.56264,0.82356,0.88921,0.000240644,0.000240644,0.000240644
23,1342.87,0.47034,0.78781,0.87772,0.95861,0.96489,0.995,0.87877,0.54457,0.78013,0.8853,0.000184055,0.000184055,0.000184055
24,1379.23,0.47786,0.79927,0.90302,0.98555,0.96585,0.995,0.89064,0.53012,0.77053,0.87987,0.000127467,0.000127467,0.000127467
25,1415.52,0.47829,0.79064,0.87978,0.98428,0.96579,0.995,0.88884,0.49984,0.74553,0.87098,7.08784e-05,7.08784e-05,7.08784e-05
