epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,48.1179,0.90082,3.51014,1.04171,0.00386,0.94444,0.4379,0.36055,0.64551,3.61656,0.83237,0.00018577,0.00018577,0.00018577
2,99.1967,0.9312,2.37706,1.07001,0.00377,0.91667,0.46168,0.37019,0.71484,3.62527,0.95084,0.000370551,0.000370551,0.000370551
3,153.111,0.87927,1.75501,1.04937,0.00371,0.91667,0.68571,0.5241,0.88582,3.41607,0.96708,0.000539488,0.000539488,0.000539488
4,204.618,0.85275,1.59898,1.04535,1,0.08151,0.48887,0.3471,0.88111,3.55632,1.03792,0.000692579,0.000692579,0.000692579
5,255.613,0.80491,1.41252,1.0218,0.42921,0.16607,0.383,0.30349,0.82459,3.36898,1.01976,0.000829826,0.000829826,0.000829826
6,307.878,0.87309,1.4508,1.06221,0.74105,0.39979,0.53709,0.34328,0.95706,3.17927,1.1141,0.000951228,0.000951228,0.000951228
7,361.076,0.8917,1.45767,1.1063,0.38478,0.41391,0.41707,0.30051,0.93662,3.02515,1.1673,0.00105679,0.00105679,0.00105679
8,415.338,0.84191,1.30705,1.06537,0.91394,0.60927,0.79324,0.61459,0.87687,2.10334,1.16266,0.00103288,0.00103288,0.00103288
9,470.829,0.82235,1.22951,1.06521,0.6984,0.75749,0.78075,0.606,0.83571,1.98562,1.01155,0.000976293,0.000976293,0.000976293
10,526.551,0.802,1.15413,1.04903,0.81735,0.74003,0.81867,0.66562,0.81907,1.69789,1.05116,0.000919704,0.000919704,0.000919704
11,582.259,0.80037,1.19192,1.07617,0.67054,0.75767,0.78455,0.6402,0.69239,1.62316,0.94735,0.000863116,0.000863116,0.000863116
12,638.517,0.74178,1.07011,1.01205,0.81733,0.94006,0.95703,0.77103,0.75174,1.29652,0.99541,0.000806528,0.000806528,0.000806528
13,695.059,0.73948,1.04159,1.03322,0.84221,0.82576,0.8449,0.69414,0.69504,1.43187,0.96951,0.000749939,0.000749939,0.000749939
14,750.518,0.71332,0.98745,1.01181,0.85568,0.92338,0.95234,0.77782,0.68851,1.1599,0.975,0.000693351,0.000693351,0.000693351
15,805.849,0.71815,0.96459,1.01906,0.93304,0.95528,0.98654,0.81848,0.67282,1.015,0.91439,0.000636762,0.000636762,0.000636762
16,861.249,0.62357,0.99053,0.91052,0.90712,0.96366,0.97615,0.81588,0.68131,1.00852,0.91903,0.000580174,0.000580174,0.000580174
17,916.023,0.63988,0.96681,0.92936,0.91996,0.94563,0.97067,0.79559,0.71016,0.98052,0.94729,0.000523586,0.000523586,0.000523586
18,970.884,0.61314,0.94964,0.95458,0.93088,0.94192,0.986,0.83393,0.63361,0.88149,0.91265,0.000466997,0.000466997,0.000466997
19,1027.14,0.58999,0.87241,0.92575,0.97302,0.93515,0.97945,0.83002,0.6403,0.90453,0.91313,0.000410409,0.000410409,0.000410409
20,1082.79,0.58276,0.84506,0.92585,0.89354,0.9955,0.9834,0.85781,0.5828,0.83369,0.87766,0.00035382,0.00035382,0.00035382
21,1138.97,0.55288,0.8114,0.90305,0.96223,0.99762,0.99295,0.8491,0.62569,0.81943,0.89226,0.000297232,0.000297232,0.000297232
22,1194.76,0.56066,0.78271,0.90997,0.95502,0.99441,0.99295,0.84098,0.62025,0.76565,0.90362,0.000240644,0.000240644,0.000240644
23,1250.43,0.54636,0.75282,0.9198,0.95117,1,0.99295,0.86811,0.59436,0.75,0.89572,0.000184055,0.000184055,0.000184055
24,1306.33,0.53155,0.75171,0.89678,0.94489,0.9946,0.99295,0.85679,0.60986,0.74564,0.89119,0.000127467,0.000127467,0.000127467
25,1361.44,0.5249,0.72657,0.92576,0.95005,0.9903,0.99295,0.85539,0.59128,0.72602,0.88384,7.08784e-05,7.08784e-05,7.08784e-05
