epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,665.471,0.85673,10.6274,0.00684,0.0026,0.64268,0.05179,0.0378,0.68021,9.32136,0.00429,0.00140767,0.000469224,0.00140767,0.000469224,0.00140767,0.000469224,0.00140767,0.000469224
2,1026.36,0.80515,10.053,0.0069,0.00305,0.71717,0.15483,0.13679,0.59836,8.55036,0.00417,0.00255584,0.000851947,0.00255584,0.000851947,0.00255584,0.000851947,0.00255584,0.000851947
3,1333.45,0.74637,9.04044,0.00591,0.57353,0.16288,0.27709,0.24197,0.69072,7.53838,0.00503,0.00342107,0.00114036,0.00342107,0.00114036,0.00342107,0.00114036,0.00342107,0.00114036
4,1611.53,0.72167,7.89485,0.00595,0.3146,0.39692,0.3824,0.32825,0.67408,6.42899,0.0052,0.00301376,0.00100459,0.00301376,0.00100459,0.00301376,0.00100459,0.00301376,0.00100459
5,1993.05,0.75478,6.8533,0.00639,0.30348,0.59848,0.39378,0.3324,0.63955,5.52492,0.00543,0.00258935,0.000863116,0.00258935,0.000863116,0.00258935,0.000863116,0.00258935,0.000863116
6,2361.03,0.70519,6.10036,0.00576,0.45438,0.54074,0.46958,0.39572,0.64608,4.85546,0.00511,0.00216494,0.000721645,0.00216494,0.000721645,0.00216494,0.000721645,0.00216494,0.000721645
7,2659.55,0.71802,5.34012,0.00606,0.47701,0.57071,0.55192,0.47143,0.6408,4.15072,0.00471,0.00174052,0.000580174,0.00174052,0.000580174,0.00174052,0.000580174,0.00174052,0.000580174
8,2951.02,0.68639,4.80498,0.00531,0.5797,0.61347,0.63455,0.55341,0.65898,3.71191,0.00509,0.00131611,0.000438703,0.00131611,0.000438703,0.00131611,0.000438703,0.00131611,0.000438703
9,3224.51,0.72733,4.43642,0.00599,0.5628,0.68198,0.69839,0.61453,0.65735,3.43369,0.00501,0.000891696,0.000297232,0.000891696,0.000297232,0.000891696,0.000297232,0.000891696,0.000297232
10,3534.1,0.70611,4.09954,0.00589,0.55428,0.6924,0.70126,0.62117,0.6552,3.2937,0.00491,0.000467283,0.000155761,0.000467283,0.000155761,0.000467283,0.000155761,0.000467283,0.000155761
